location,name,Alc,latitude,longitude,image,links
경기도,안성마춤 생막걸리,6%,36.9359564,127.2610897,https://thesool.com/wp-content/uploads/2019/04/안성마춤생막걸리.jpg,http://hanjuy.kr.ecplaza.net
경기도,오디아락40,40%,37.9058024,127.3088802,https://thesool.com/wp-content/uploads/2020/02/아락.png,http://www.sansawon.co.kr
경기도,오매락,40%,37.9058024,127.3088802,https://thesool.com/wp-content/uploads/2020/01/배상면주가_오매락-1.jpg,http://www.sansawon.co.kr
경기도,오매락퍽,40%,37.9058024,127.3088802,https://thesool.com/wp-content/uploads/2017/11/129.jpg,http://www.sansawon.co.kr
경기도,왕율주,25%,36.9359564,127.2610897,https://thesool.com/wp-content/uploads/2020/01/왕율주-1.jpg,www.bamsul.com
경기도,우곡주,13%,37.1495498,126.9609396,https://thesool.com/wp-content/uploads/2019/01/배혜정도가_우곡주.jpg,http://www.baedoga.co.kr/
경기도,유자생막걸리,5%,37.1495498,126.9609396,https://thesool.com/wp-content/uploads/2017/11/4-3.jpg,http://www.baedoga.co.kr/
경기도,이담,55%,37.1495498,126.9609396,https://thesool.com/wp-content/uploads/2017/11/144.jpg,http://www.baedoga.co.kr/
경기도,이화주,8%,37.2330557,127.2982269,https://thesool.com/wp-content/uploads/2018/10/00_이화주.jpg,http://www.sulseam.com
경기도,주시락 복분자 막걸리,6%,37.8198465,127.3553975,https://thesool.com/wp-content/uploads/2017/11/8888.jpg,http://www.woorisool.kr
경기도,천비향 오양주 약주,16%,37.0006948,126.9894194,https://thesool.com/wp-content/uploads/2019/08/천비향-캡처.jpg,https://jsul.modoo.at/
경기도,천비향 오양주 탁주,14%,37.0006948,126.9894194,https://thesool.com/wp-content/uploads/2019/07/20190703_천비향탁주.jpg,https://jsul.modoo.at/
경기도,천비향 화주,40%,37.0006948,126.9894194,https://thesool.com/wp-content/uploads/2020/01/ccc.jpg,https://jsul.modoo.at/
경기도,청진주,16%,37.7631328,127.4993665,https://thesool.com/wp-content/uploads/2019/03/청진주.jpg,http://전통주연구개발원.kr/
